#country code|service name|icon image|[overlay image]
# TODO: fix country assignments, sort
ALL|Hulu|https://secure.hulu.com/htv/lg/1.0/prod/html/index.html|Images/tmp/hulu.png|
ALL|TV Azteca|http://www.tvazteca.com/lg/|Images/tmp/azteca.png|
ALL|Tvolution|http://tvolucion.esmas.com/widgets/lg/|Images/tmp/tvolucion.png|
ALL|TOU TV|http://lg.tou.tv/index.html|Images/tmp/toutv.png|
RUS|Gastronom|http://lg.gastronom.ru|Images/tmp/gastronom.png|
RUS|Fidel|http://lgtv.api.fidel.ru/index.html|Images/tmp/fidel.png|
RUS|JV RU|http://www.jv.ru/netcast/monorail_video.php|Images/tmp/jvru.png|
RUS|Tvigle|http://lg.dev.tvigle.ru/|Images/tmp/tvigle.png|
RUS|RU TV|http://lg.rutv.ru|Images/tmp/rutv.png|
RUS|Omlet|http://dev.omlet.ru/lg2|Images/tmp/omlet.png|
ALL|River Plate|http://broadcast.cariverplate.com/|Images/tmp/riverplate.png|
ALL|Boca Juniors|http://broadcast.bocajuniorsonline.com/|Images/tmp/bocajuniors.png|
ARG|LG AR|http://www.lgnetcast.com.ar/|Images/tmp/lgar.png|
BRA|MTV BR|http://webcast.mtv.uol.com.br/lg|Images/tmp/mtvbr.png|
BRA|Caras|http://lge.caras.com.br/|Images/tmp/caras.png|
BRA|TOP TVZ|http://toptvz.com.br/tvlg|Images/tmp/toptvz.png|
ALL|Caracol TV|http://apps.caracoltv.co/lg/qa/|Images/tmp/caracoltv.png|
ALL|Etisalat|http://prod.lg.etisalatmediagroup.com/|Images/tmp/etisalat.png|
USA|Kaskus|http://api-lg.kaskus.us/|Images/tmp/kaskus.png|
ALL|Liputan 6|http://tv.liputan6.com/lg|Images/tmp/liputan6.png|
ALL|iWanTV|http://iwantv.com.ph/LGTest/index.html|Images/tmp/iwantv.png|
ALL|ITIran|http://itiran.com/smarttv|Images/tmp/itiran.png|
ALL|NRJ|http://lg.wiztivi.com/lg-nrj-frontend/index.jsp|Images/tmp/nrj.png|
ALL|Yavido|http://lge.yavido.tv|Images/tmp/yavido.png|
POL|Gazeta PL|http://gazeta.lg.xlogic.pl|Images/tmp/gazeta.png|
ALL|TV4|http://frontend.eu.ericssonmediafabric.com/TV4_LG|Images/tmp/TV4_LG.png|
HUN|VideoTar|http://videotar.mtv.hu/videoportal/lg/index.html|Images/tmp/videotar.png|
HUN|Origo|http://lgtv.origo.hu/|Images/tmp/origo.png|
ALL|Allocine|http://lg.wiztivi.com/lg-allocine-frontend/dojoroot/app/pages/lg/index.jsp?lang=fr|Images/tmp/allocine.png|
ALL|Canal Play|http://b01-demodev01.wiztivi.com/lg-cplus-catchuptv-frontend/dojoroot/app/pages/lg/index.jsp|Images/tmp/canalplay.png|
SPA|LOS 40|http://tv.los40.com/lge/|Images/tmp/los40.png|
KOR|MBC KR|http://lgsmarttv.mbcmedia.net/lgst/|Images/tmp/mbc_kr.png|
ALL|Cine 21|http://lgtv.cine21.com/|Images/tmp/cine21.png|
ALL|Cartoon Network|http://tv.bibc.com/lg/cn_en/cn_en.xhtml|Images/tmp/cartoon_network.png|
DEU|Cartoon Network DE|http://tv.bibc.com/lg/cn_de/cn_de.xhtml|Images/tmp/cartoon_network_de.png|
ALL|HIT|http://tv.bibc.com/lg/hit_en/hit_en.xhtml|Images/tmp/hit_en.png|
ALL|CNN ID|http://tv.bibc.com/lg/cnn_id/cnn_id.xhtml|Images/tmp/cnnid.png|
ALL|BO365|http://tv.bibc.com/lg/bo365_en/bo365_en.xhtml|Images/tmp/bo365.png|
ALL|DVD Fly|http://stb.dvdfly.ch/dvdfly_portal/lgtv|Images/tmp/dvdfly.png|
SPA|El Pais|http://lge.elpais.com/|Images/tmp/elpais.png|
SPA|AS|http://lge.as.com/|Images/tmp/as_com.png|
SPA|La Sexta|http://www.lasexta.com/lg|Images/tmp/lasexta.png|
